IDCliente,NombreCliente,Material,SKU,Descripcion,Grupo_Material_1,Grupo_Material_3,Grupo_Material_4,Grupo_Vendedores,zona_ventas,Mes_prediccion,Trimestre,Año,cantidad_sugerida,metodo,es_descontinuado,tiene_sustitutos,sustitutos,datos_usados,segmento_cliente,frecuencia_cliente,ultima_compra,registros_historicos,registros_directos,promedio_historico,factor_estacional,MAD,MAPE,ACC
109,MULTICENTRO COMERCIALIZADORA/GIRARD,201382,201382,MACERATA AVELLANA 30X60  PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,10,4,2025,197.83,exponential_smoothing,False,False,[],enriquecidos,Alto,Alta,2025-08-27,63,1,156.643,1.04,73.6802,1288.53,-11.8853
109,MULTICENTRO COMERCIALIZADORA/GIRARD,201382,201382,MACERATA AVELLANA 30X60  PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,11,4,2025,197.83,exponential_smoothing,False,False,[],enriquecidos,Alto,Alta,2025-08-27,63,1,156.643,1.04,73.6802,1288.53,-11.8853
109,MULTICENTRO COMERCIALIZADORA/GIRARD,201382,201382,MACERATA AVELLANA 30X60  PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,12,4,2025,197.83,exponential_smoothing,False,False,[],enriquecidos,Alto,Alta,2025-08-27,63,1,156.643,1.04,73.6802,1288.53,-11.8853
109,MULTICENTRO COMERCIALIZADORA/GIRARD,201385,201385,MACERATA ALMENDRA 30X60 PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,10,4,2025,197.83,exponential_smoothing,False,False,[],enriquecidos,Alto,Alta,2025-08-27,63,1,156.643,1.04,73.6802,1288.53,-11.8853
109,MULTICENTRO COMERCIALIZADORA/GIRARD,201385,201385,MACERATA ALMENDRA 30X60 PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,11,4,2025,197.83,exponential_smoothing,False,False,[],enriquecidos,Alto,Alta,2025-08-27,63,1,156.643,1.04,73.6802,1288.53,-11.8853
109,MULTICENTRO COMERCIALIZADORA/GIRARD,201385,201385,MACERATA ALMENDRA 30X60 PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,12,4,2025,197.83,exponential_smoothing,False,False,[],enriquecidos,Alto,Alta,2025-08-27,63,1,156.643,1.04,73.6802,1288.53,-11.8853
109,MULTICENTRO COMERCIALIZADORA/GIRARD,201386,201386,MACERATA MARFIL 30X60 PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,10,4,2025,198.34,exponential_smoothing,False,False,[],directos,Alto,Alta,2025-06-28,4,4,170.505,1.04,97.2,70.17,0.2983
109,MULTICENTRO COMERCIALIZADORA/GIRARD,201386,201386,MACERATA MARFIL 30X60 PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,11,4,2025,198.34,exponential_smoothing,False,False,[],directos,Alto,Alta,2025-06-28,4,4,170.505,1.04,97.2,70.17,0.2983
109,MULTICENTRO COMERCIALIZADORA/GIRARD,201386,201386,MACERATA MARFIL 30X60 PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,12,4,2025,198.34,exponential_smoothing,False,False,[],directos,Alto,Alta,2025-06-28,4,4,170.505,1.04,97.2,70.17,0.2983
109,MULTICENTRO COMERCIALIZADORA/GIRARD,202205,202205,SEVILLA REAL 60X60 PRIMERA,Ceramica,HIDRAULICOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,10,4,2025,197.83,exponential_smoothing,False,False,[],enriquecidos,Alto,Alta,2025-08-27,63,1,156.643,1.04,73.6802,1288.53,-11.8853
