IDCliente,NombreCliente,Material,SKU,Descripcion,Grupo_Material_1,Grupo_Material_3,Grupo_Material_4,Grupo_Vendedores,zona_ventas,Mes_prediccion,Trimestre,Año,cantidad_sugerida,metodo,es_descontinuado,tiene_sustitutos,sustitutos,datos_usados,segmento_cliente,frecuencia_cliente,ultima_compra,registros_historicos,registros_directos,promedio_historico,factor_estacional,MAD,MAPE,ACC
109,MULTICENTRO COMERCIALIZADORA/GIRARD,263061,263061,BARROCO 58.4X118.4 GB DUAL RECT,Ceramica,CEMENTOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,12,4,2025,0.0,multiple_regression,False,False,[],directos,Alto,Alta,2025-08-27,3,3,112.47,1.15,,,
109,MULTICENTRO COMERCIALIZADORA/GIRARD,263063,263063,LIBANO MIEL 19.3X118.4 GB DUAL RECT,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,10,4,2025,0.0,multiple_regression,False,False,[],directos,Alto,Alta,2025-08-14,4,4,123.975,1.04,80.37,2350.0,-22.5
109,MULTICENTRO COMERCIALIZADORA/GIRARD,263063,263063,LIBANO MIEL 19.3X118.4 GB DUAL RECT,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,11,4,2025,0.0,multiple_regression,False,False,[],directos,Alto,Alta,2025-08-14,4,4,123.975,1.04,80.37,2350.0,-22.5
109,MULTICENTRO COMERCIALIZADORA/GIRARD,263063,263063,LIBANO MIEL 19.3X118.4 GB DUAL RECT,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,12,4,2025,0.0,multiple_regression,False,False,[],directos,Alto,Alta,2025-08-14,4,4,123.975,1.04,80.37,2350.0,-22.5
117,DECORADOS Y ACABADOS CERAMICOS/BOSA,230071,230071,TORMES 58.4X118.4 PRIMERA,Ceramica,ACENTOS / DECORADOS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,10,4,2025,0.0,multiple_regression,False,False,[],directos,Alto,Media,2025-08-25,3,3,149.73,1.0,,,
117,DECORADOS Y ACABADOS CERAMICOS/BOSA,230071,230071,TORMES 58.4X118.4 PRIMERA,Ceramica,ACENTOS / DECORADOS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,11,4,2025,0.0,multiple_regression,False,False,[],directos,Alto,Media,2025-08-25,3,3,149.73,1.15,,,
117,DECORADOS Y ACABADOS CERAMICOS/BOSA,230071,230071,TORMES 58.4X118.4 PRIMERA,Ceramica,ACENTOS / DECORADOS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,12,4,2025,0.0,multiple_regression,False,False,[],directos,Alto,Media,2025-08-25,3,3,149.73,1.15,,,
117,DECORADOS Y ACABADOS CERAMICOS/BOSA,231040,231040,CALCITA 58.4X118.4 PRIMERA RECT,Ceranatto,MARMOLIZADOS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,10,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Alto,Media,2025-07-03,5,1,124.614,1.153,1406.8293,20081.11,-199.8111
117,DECORADOS Y ACABADOS CERAMICOS/BOSA,231040,231040,CALCITA 58.4X118.4 PRIMERA RECT,Ceranatto,MARMOLIZADOS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,11,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Alto,Media,2025-07-03,5,1,124.614,1.153,1406.8293,20081.11,-199.8111
117,DECORADOS Y ACABADOS CERAMICOS/BOSA,231040,231040,CALCITA 58.4X118.4 PRIMERA RECT,Ceranatto,MARMOLIZADOS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,12,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Alto,Media,2025-07-03,5,1,124.614,1.153,1406.8293,20081.11,-199.8111
